elapsed_ms,active_workers,cpu_pct
10720,4,100.00
10730,4,100.00
10740,4,100.00
10750,4,100.00
10760,4,100.00
10770,4,100.00
10780,4,100.00
10790,4,100.00
10800,4,100.00
10810,4,100.00
10820,4,100.00
10830,4,100.00
10840,4,100.00
10850,4,100.00
10860,4,100.00
10870,4,100.00
10880,4,100.00
10890,4,100.00
10900,4,100.00
10910,4,100.00
10920,4,100.00
10930,4,100.00
10940,4,100.00
10950,4,100.00
10960,4,100.00
10970,4,100.00
10980,4,100.00
10990,4,100.00
11000,4,100.00
11010,4,100.00
11020,4,100.00
11030,4,100.00
11040,4,100.00
11050,4,100.00
11060,4,100.00
11070,4,100.00
11080,4,100.00
11090,4,100.00
11100,4,100.00
11110,4,100.00
11120,4,100.00
11130,4,100.00
11140,4,100.00
11150,4,100.00
11160,4,100.00
11170,4,100.00
11180,4,100.00
11190,4,100.00
11200,4,100.00
11210,4,100.00
11220,4,100.00
11230,4,100.00
11240,4,100.00
11250,4,100.00
11260,4,100.00
11270,4,100.00
11280,4,100.00
11290,4,100.00
11300,4,100.00
11310,4,100.00
11320,4,100.00
11330,4,100.00
11340,4,100.00
11350,4,100.00
11360,4,100.00
11370,4,100.00
11380,4,100.00
11390,4,100.00
11400,4,100.00
11410,4,100.00
11420,4,100.00
11430,4,100.00
11440,4,100.00
11450,4,100.00
11460,4,100.00
11470,4,100.00
11480,4,100.00
11490,4,100.00
11500,4,100.00
11510,4,100.00
11520,4,100.00
11530,4,100.00
11540,4,100.00
11550,4,100.00
11560,4,100.00
11570,4,100.00
11580,4,100.00
11590,4,100.00
11600,4,100.00
11610,4,100.00
11620,4,100.00
11630,4,100.00
11640,4,100.00
11650,4,100.00
11660,4,100.00
11670,4,100.00
11680,4,100.00
11690,4,100.00
11700,4,100.00
11710,4,100.00
11720,4,100.00
11730,4,100.00
11740,4,100.00
11750,4,100.00
11760,4,100.00
11770,4,100.00
11780,4,100.00
11790,4,100.00
11800,4,100.00
11810,4,100.00
11820,4,100.00
11830,4,100.00
11840,4,100.00
11850,4,100.00
11860,4,100.00
11870,4,100.00
11880,4,100.00
11890,4,100.00
11900,4,100.00
11910,4,100.00
11920,4,100.00
11930,4,100.00
11940,4,100.00
11950,4,100.00
11960,4,100.00
11970,4,100.00
11980,4,100.00
11990,4,100.00
12000,4,100.00
12010,4,100.00
12020,4,100.00
12030,4,100.00
12040,4,100.00
12050,4,100.00
12060,4,100.00
12070,4,100.00
12080,4,100.00
12090,4,100.00
12100,4,100.00
12110,4,100.00
12120,4,100.00
12130,4,100.00
12140,4,100.00
12150,4,100.00
12160,4,100.00
12170,4,100.00
12180,4,100.00
12190,4,100.00
12200,4,100.00
12210,4,100.00
12220,4,100.00
12230,4,100.00
12240,4,100.00
12250,4,100.00
12260,4,100.00
12270,4,100.00
12280,4,100.00
12290,4,100.00
12300,4,100.00
12310,4,100.00
12320,4,100.00
12330,4,100.00
12340,4,100.00
12350,4,100.00
12360,4,100.00
12370,4,100.00
12380,4,100.00
12390,4,100.00
12400,4,100.00
12410,4,100.00
12420,4,100.00
12430,4,100.00
12440,4,100.00
12450,4,100.00
12460,4,100.00
12470,4,100.00
12480,4,100.00
12490,4,100.00
12500,4,100.00
12510,4,100.00
12520,4,100.00
12530,4,100.00
12540,4,100.00
12550,4,100.00
12560,4,100.00
12570,4,100.00
12580,4,100.00
12590,4,100.00
12600,4,100.00
12610,4,100.00
12620,4,100.00
12630,4,100.00
12640,4,100.00
12650,4,100.00
12660,4,100.00
12670,4,100.00
12680,4,100.00
12690,4,100.00
12700,4,100.00
12710,4,100.00
12720,4,100.00
12730,4,100.00
12740,4,100.00
12750,4,100.00
12760,4,100.00
12770,4,100.00
12780,4,100.00
12790,4,100.00
12800,4,100.00
12810,4,100.00
12820,4,100.00
12830,4,100.00
12840,4,100.00
12850,4,100.00
12860,4,100.00
12870,4,100.00
12880,4,100.00
12890,4,100.00
12900,4,100.00
12910,4,100.00
12920,4,100.00
12930,4,100.00
12940,4,100.00
12950,4,100.00
12960,4,100.00
12970,4,100.00
12980,4,100.00
12990,4,100.00
13000,4,100.00
13010,4,100.00
13020,4,100.00
13030,4,100.00
13040,4,100.00
13050,4,100.00
13060,4,100.00
13070,4,100.00
13080,4,100.00
13090,4,100.00
13100,4,100.00
13110,4,100.00
13120,4,100.00
13130,4,100.00
13140,4,100.00
13150,4,100.00
13160,4,100.00
13170,4,100.00
13180,4,100.00
13190,4,100.00
13200,4,100.00
13210,4,100.00
13220,4,100.00
13230,4,100.00
13240,4,100.00
13250,4,100.00
13260,4,100.00
13270,4,100.00
13280,4,100.00
13290,4,100.00
13300,4,100.00
13310,4,100.00
13320,4,100.00
13330,4,100.00
13340,4,100.00
13350,4,100.00
13360,4,100.00
13370,4,100.00
13380,4,100.00
13390,4,100.00
13400,4,100.00
13410,4,100.00
13420,4,100.00
13430,4,100.00
13440,4,100.00
13450,4,100.00
13460,4,100.00
13470,4,100.00
13480,4,100.00
13490,4,100.00
13500,4,100.00
13510,4,100.00
13520,4,100.00
13530,4,100.00
13540,4,100.00
13550,4,100.00
13560,4,100.00
13570,4,100.00
13580,4,100.00
13590,4,100.00
13600,4,100.00
13610,4,100.00
13620,4,100.00
13630,4,100.00
13640,4,100.00
13650,4,100.00
13660,4,100.00
13670,4,100.00
13680,4,100.00
13690,4,100.00
13700,4,100.00
13710,4,100.00
13720,4,100.00
13730,4,100.00
13740,4,100.00
13750,4,100.00
13760,4,100.00
13770,4,100.00
13780,4,100.00
13790,4,100.00
13800,4,100.00
13810,4,100.00
13820,4,100.00
13830,4,100.00
13840,4,100.00
13850,4,100.00
13860,4,100.00
13870,4,100.00
13880,4,100.00
13890,4,100.00
13900,4,100.00
13910,4,100.00
13920,4,100.00
13930,4,100.00
13940,4,100.00
13950,4,100.00
13960,4,100.00
13970,4,100.00
13980,4,100.00
13990,4,100.00
14000,4,100.00
14010,4,100.00
14020,4,100.00
14030,4,100.00
14040,4,100.00
14050,4,100.00
14060,4,100.00
14070,4,100.00
14080,4,100.00
14090,4,100.00
14100,4,100.00
14110,4,100.00
14120,4,100.00
14130,4,100.00
14140,4,100.00
14150,4,100.00
14160,4,100.00
14170,4,100.00
14180,4,100.00
14190,4,100.00
14200,4,100.00
14210,4,100.00
14220,4,100.00
14230,4,100.00
14240,4,100.00
14250,4,100.00
14260,4,100.00
14270,4,100.00
14280,4,100.00
14290,4,100.00
14300,4,100.00
14310,4,100.00
14320,4,100.00
14330,4,100.00
14340,4,100.00
14350,4,100.00
14360,4,100.00
14370,4,100.00
14380,4,100.00
14390,4,100.00
14400,4,100.00
14410,4,100.00
14420,4,100.00
14430,4,100.00
14440,4,100.00
14450,4,100.00
14460,4,100.00
14470,4,100.00
14480,4,100.00
14490,4,100.00
14500,4,100.00
14510,4,100.00
14520,4,100.00
14530,4,100.00
14540,4,100.00
14550,4,100.00
14560,4,100.00
14570,4,100.00
14580,4,100.00
14590,4,100.00
14600,4,100.00
14610,4,100.00
14620,4,100.00
14630,4,100.00
14640,4,100.00
14650,4,100.00
14660,4,100.00
14670,4,100.00
14680,4,100.00
14690,4,100.00
14700,4,100.00
14710,4,100.00
14720,4,100.00
14730,4,100.00
14740,4,100.00
14750,4,100.00
14760,4,100.00
14770,4,100.00
14780,4,100.00
14790,4,100.00
14800,4,100.00
14810,4,100.00
14820,4,100.00
14830,4,100.00
14840,4,100.00
14850,4,100.00
14860,4,100.00
14870,4,100.00
14880,4,100.00
14890,4,100.00
14900,4,100.00
14910,4,100.00
14920,4,100.00
14930,4,100.00
14940,4,100.00
14950,4,100.00
14960,4,100.00
14970,4,100.00
14980,4,100.00
14990,4,100.00
15000,4,100.00
15010,4,100.00
15020,4,100.00
15030,4,100.00
15040,4,100.00
15050,4,100.00
15060,4,100.00
15070,4,100.00
15080,4,100.00
15090,4,100.00
15100,4,100.00
15110,4,100.00
15120,4,100.00
15130,4,100.00
15140,4,100.00
15150,4,100.00
15160,4,100.00
15170,4,100.00
15180,4,100.00
15190,4,100.00
15200,4,100.00
15210,4,100.00
15220,4,100.00
15230,4,100.00
15240,4,100.00
15250,4,100.00
15260,4,100.00
15270,4,100.00
15280,4,100.00
15290,4,100.00
15300,4,100.00
15310,4,100.00
15320,4,100.00
15330,4,100.00
15340,4,100.00
15350,4,100.00
15360,4,100.00
15370,4,100.00
15380,4,100.00
15390,4,100.00
15400,4,100.00
15410,4,100.00
15420,4,100.00
15430,4,100.00
15440,4,100.00
15450,4,100.00
15460,4,100.00
15470,4,100.00
15480,4,100.00
15490,4,100.00
15500,4,100.00
15510,4,100.00
15520,4,100.00
15530,4,100.00
15540,4,100.00
15550,4,100.00
15560,4,100.00
15570,4,100.00
15580,4,100.00
15590,4,100.00
15600,4,100.00
15610,4,100.00
15620,4,100.00
15630,4,100.00
15640,4,100.00
15650,4,100.00
15660,4,100.00
15670,4,100.00
15680,4,100.00
15690,4,100.00
15700,4,100.00
15710,4,100.00
15720,4,100.00
15730,4,100.00
15740,4,100.00
15750,4,100.00
15760,4,100.00
15770,4,100.00
15780,4,100.00
15790,4,100.00
15800,4,100.00
15810,4,100.00
15820,4,100.00
15830,4,100.00
15840,4,100.00
15850,4,100.00
15860,4,100.00
15870,4,100.00
15880,4,100.00
15890,4,100.00
15900,4,100.00
15910,4,100.00
15920,4,100.00
15930,4,100.00
15940,4,100.00
15950,4,100.00
15960,4,100.00
15970,4,100.00
15980,4,100.00
15990,4,100.00
16000,4,100.00
16010,4,100.00
16020,4,100.00
16030,4,100.00
16040,4,100.00
16050,4,100.00
16060,4,100.00
16070,4,100.00
16080,4,100.00
16090,4,100.00
16100,4,100.00
16110,4,100.00
16120,4,100.00
16130,4,100.00
16140,4,100.00
16150,4,100.00
16160,4,100.00
16170,4,100.00
16180,4,100.00
16190,4,100.00
16200,4,100.00
16210,4,100.00
16220,4,100.00
16230,4,100.00
16240,4,100.00
16250,4,100.00
16260,4,100.00
16270,4,100.00
16280,4,100.00
16290,4,100.00
16300,4,100.00
16310,4,100.00
16320,4,100.00
16330,4,100.00
16340,4,100.00
16350,4,100.00
16360,4,100.00
16370,4,100.00
16380,4,100.00
16390,4,100.00
16400,4,100.00
16410,4,100.00
16420,4,100.00
16430,4,100.00
16440,4,100.00
16450,4,100.00
16460,4,100.00
16470,4,100.00
16480,4,100.00
16490,4,100.00
16500,4,100.00
16510,4,100.00
16520,4,100.00
16530,4,100.00
16540,4,100.00
16550,4,100.00
16560,4,100.00
16570,4,100.00
16580,4,100.00
16590,4,100.00
16600,4,100.00
16610,4,100.00
16620,4,100.00
16630,4,100.00
16640,4,100.00
16650,4,100.00
16660,4,100.00
16670,4,100.00
16680,4,100.00
16690,4,100.00
16700,4,100.00
16710,4,100.00
16720,4,100.00
16730,4,100.00
16740,4,100.00
16750,4,100.00
16760,4,100.00
16770,4,100.00
16780,4,100.00
16790,4,100.00
16800,4,100.00
16810,4,100.00
16820,4,100.00
16830,4,100.00
16840,4,100.00
16850,4,100.00
16860,4,100.00
16870,4,100.00
16880,4,100.00
16890,4,100.00
16900,4,100.00
16910,4,100.00
16920,4,100.00
16930,4,100.00
16940,4,100.00
16950,4,100.00
16960,4,100.00
16970,4,100.00
16980,4,100.00
16990,4,100.00
17000,4,100.00
17010,4,100.00
17020,4,100.00
17030,4,100.00
17040,4,100.00
17050,4,100.00
17060,4,100.00
17070,4,100.00
17080,4,100.00
17090,4,100.00
17100,4,100.00
17110,4,100.00
17120,4,100.00
17130,4,100.00
17140,4,100.00
17150,4,100.00
17160,4,100.00
17170,4,100.00
17180,4,100.00
17190,4,100.00
17200,4,100.00
17210,4,100.00
17220,4,100.00
17230,4,100.00
17240,4,100.00
17250,4,100.00
17260,4,100.00
17270,4,100.00
17280,4,100.00
17290,4,100.00
17300,4,100.00
17310,4,100.00
17320,4,100.00
17330,4,100.00
17340,4,100.00
17350,4,100.00
17360,4,100.00
17370,4,100.00
17380,4,100.00
17390,4,100.00
17400,4,100.00
17410,4,100.00
17420,4,100.00
17430,4,100.00
17440,4,100.00
17450,4,100.00
17460,4,100.00
17470,4,100.00
17480,4,100.00
17490,4,100.00
17500,4,100.00
17510,4,100.00
17520,4,100.00
17530,4,100.00
17540,4,100.00
17550,4,100.00
17560,4,100.00
17570,4,100.00
17580,4,100.00
17590,4,100.00
17600,4,100.00
17610,4,100.00
17620,4,100.00
17630,4,100.00
17640,4,100.00
17650,4,100.00
17660,4,100.00
17670,4,100.00
17680,4,100.00
17690,4,100.00
17700,4,100.00
17710,4,100.00
17720,4,100.00
17730,4,100.00
17740,4,100.00
17750,4,100.00
17760,4,100.00
17770,4,100.00
17780,4,100.00
17790,4,100.00
17800,4,100.00
17810,4,100.00
17820,4,100.00
17830,4,100.00
17840,4,100.00
17850,4,100.00
17860,4,100.00
17870,4,100.00
17880,4,100.00
17890,4,100.00
17900,4,100.00
17910,4,100.00
17920,4,100.00
17930,4,100.00
17940,4,100.00
17950,4,100.00
17960,4,100.00
17970,4,100.00
17980,4,100.00
17990,4,100.00
18000,4,100.00
18010,4,100.00
18020,4,100.00
18030,4,100.00
18040,4,100.00
18050,4,100.00
18060,4,100.00
18070,4,100.00
18080,4,100.00
18090,4,100.00
18100,4,100.00
18110,4,100.00
18120,4,100.00
18130,4,100.00
18140,4,100.00
18150,4,100.00
18160,4,100.00
18170,4,100.00
18180,4,100.00
18190,4,100.00
18200,4,100.00
18210,4,100.00
18220,4,100.00
18230,4,100.00
18240,4,100.00
18250,4,100.00
18260,4,100.00
18270,4,100.00
18280,4,100.00
